B20002_001E,state,county,GEOID,median
31008,36,095,36095,31.008
31238,36,035,36035,31.238
38619,36,083,36083,38.619
31611,36,033,36033,31.611
36381,36,081,36081,36.381
31095,36,115,36115,31.095
59620,36,061,36061,59.62
33045,36,011,36011,33.045
40742,36,087,36087,40.742
33693,36,063,36063,33.693
29965,36,031,36031,29.965
49803,36,059,36059,49.803
29225,36,097,36097,29.225
30363,36,017,36017,30.363
29342,36,045,36045,29.342
43307,36,103,36103,43.307
33838,36,121,36121,33.838
29247,36,075,36075,29.247
31839,36,117,36117,31.839
28269,36,007,36007,28.269
35002,36,029,36029,35.002
31855,36,105,36105,31.855
38442,36,071,36071,38.442
27074,36,005,36005,27.074
35990,36,067,36067,35.99
30710,36,019,36019,30.71
30114,36,099,36099,30.114
45843,36,079,36079,45.843
30666,36,043,36043,30.666
34960,36,069,36069,34.96
31079,36,101,36101,31.079
30789,36,041,36041,30.789
27417,36,013,36013,27.417
37123,36,047,36047,37.123
33942,36,107,36107,33.942
31049,36,073,36073,31.049
43269,36,091,36091,43.269
34979,36,021,36021,34.979
32045,36,049,36049,32.045
46500,36,119,36119,46.5
26270,36,025,36025,26.27
30591,36,057,36057,30.591
46586,36,085,36085,46.586
26975,36,089,36089,26.975
27387,36,109,36109,27.387
32189,36,113,36113,32.189
28153,36,023,36023,28.153
37616,36,027,36027,37.616
33207,36,055,36055,33.207
31786,36,065,36065,31.786
32829,36,111,36111,32.829
31748,36,015,36015,31.748
30739,36,051,36051,30.739
25513,36,077,36077,25.513
32135,36,039,36039,32.135
36620,36,001,36001,36.62
23628,36,003,36003,23.628
29892,36,009,36009,29.892
32324,36,053,36053,32.324
32580,36,093,36093,32.58
31972,36,037,36037,31.972
27575,36,123,36123,27.575
