NAME,B01001_001E,state
Mississippi,2988762,28
Missouri,6090062,29
Montana,1041732,30
Nebraska,1904760,31
Nevada,2922849,32
New Hampshire,1343622,33
New Jersey,8881845,34
New Mexico,2092434,35
New York,19618453,36
North Carolina,10155624,37
North Dakota,752201,38
Ohio,11641879,39
Oklahoma,3918137,40
Oregon,4081943,41
Pennsylvania,12791181,42
Rhode Island,1056611,44
South Carolina,4955925,45
South Dakota,864289,46
Tennessee,6651089,47
Texas,27885195,48
Vermont,624977,50
Utah,3045350,49
Virginia,8413774,51
Washington,7294336,53
West Virginia,1829054,54
Wisconsin,5778394,55
Wyoming,581836,56
Puerto Rico,3386941,72
Alabama,4864680,01
Alaska,738516,02
Arizona,6946685,04
Arkansas,2990671,05
California,39148760,06
Colorado,5531141,08
Delaware,949495,10
District of Columbia,684498,11
Connecticut,3581504,09
Florida,20598139,12
Georgia,10297484,13
Idaho,1687809,16
Hawaii,1422029,15
Illinois,12821497,17
Indiana,6637426,18
Iowa,3132499,19
Kansas,2908776,20
Kentucky,4440204,21
Louisiana,4663616,22
Maine,1332813,23
Maryland,6003435,24
Massachusetts,6830193,25
Michigan,9957488,26
Minnesota,5527358,27
